name,value,similarity,value_rank,similarity_rank
In1.9Ge0.1O3,0.262891577,0.8946353793144226,84.0,100.0
In1.94Ge0.06O3,0.242663763,0.8881510496139526,85.0,123.0
In1.994Ge0.006O3,0.242294205,0.8961198329925537,86.0,92.0
NbCo1.10Sn,0.242232068,0.8706800937652588,87.0,161.0
Ca2.7Bi0.3Co4O9,0.241256545,0.8945921659469604,88.0,101.0
In1.998Ge0.002O3,0.240031089,0.8832696080207825,89.0,144.0
Sr0.146Ga0.285Ge0.569,0.239019646,0.9049829244613647,90.0,24.0
In1.985Ge0.015O3,0.231919011,0.8822737336158752,91.0,146.0
Zn0.95Al0.05O,0.227868794,0.8902631998062134,92.0,118.0
Ca2.7Na0.3Co4O9,0.226762625,0.8973499536514282,93.0,87.0
Sr0.147Ga0.298Ge0.555,0.223320108,0.8883346915245056,94.0,122.0
CaGd0.96Mn0.04O3,0.220343013,0.8918380737304688,95.0,113.0
Ba7SrAl16Si30,0.217595686,0.8667564392089844,96.0,164.0
Zn0.98Al0.02O,0.212496077,0.8932002186775208,97.0,109.0
La2.99Te4,0.199618299,0.9030148386955261,98.0,41.0
CaYb0.05Mn0.95O3,0.199082397,0.8820250630378723,99.0,149.0
CeFe3.5Co0.5Sb13,0.198167011,0.8848968148231506,100.0,138.0
Ba8Au5.59Si39.01,0.19673713,0.9016715288162231,101.0,54.0
Sr0.9La0.1TiO3,0.195461682,0.9048522114753723,102.0,28.0
Cr1.3Mo6S8,0.188309984,0.9008166193962097,103.0,61.0
Sb2Te3,0.1875,0.8286153078079224,104.0,182.0
Ba8Au6.10Si38.97,0.177710375,0.9096735715866089,105.0,10.0
Mg2Si0.98Ag0.02,0.176754891,0.8988445401191711,106.0,78.0
Sr0.9Y0.1TiO3,0.174659813,0.9000124335289001,107.0,68.0
Mg1.95Ca0.05Si,0.168840415,0.8777804970741272,108.0,158.0
Ca0.9Y0.1MnO3,0.158857,0.8980748653411865,109.0,83.0
SrNd0.2Ti0.8O3,0.155117618,0.9052780270576477,110.0,23.0
CuRh0.9Mg0.1O2,0.152467292,0.8993008732795715,111.0,72.0
ZrNiSn0.98Sb0.02,0.151338494,0.8996860980987549,112.0,69.0
SrNd0.24Ti0.76O3,0.14946236,0.8937678933143616,113.0,106.0
Sr3Ti1.6Nb0.4O7,0.149317383,0.9078897833824158,114.0,14.0
SrDy0.08Ti0.92O3,0.148325495,0.9061547517776489,115.0,19.0
CaMn0.98Nb0.02O3,0.144503757,0.8947282433509827,116.0,99.0
SrNd0.17Ti0.83O3,0.141466893,0.884272575378418,117.0,140.0
Ca0.9Tb0.1MnO3,0.141281,0.9018194079399109,118.0,53.0
Ba0.4Sr0.6PbO3,0.139855751,0.8860787153244019,119.0,134.0
CaYb0.1Mn0.9O3,0.133018362,0.881291925907135,120.0,153.0
Ca0.9Yb0.1MnO3,0.128986958,0.8987195491790771,121.0,80.0
NbCoSn,0.122572444,0.819282591342926,122.0,187.0
CaGd0.94Mn0.06O3,0.121469186,0.882734477519989,123.0,145.0
Ca0.9Bi0.1Mn0.9Nb0.1O3,0.120991889,0.9040637612342834,124.0,32.0
